,Example,Idiom
0,"""We can use any approach we want to finish the project, as long as we meet the deadline. After all, all roads lead to Rome.""",all roads lead to Rome
1,"""We're all set to leave for our vacation, we just need to load the car and hit the road!""",all set
2,"Despite their claims, the theory that pigs can fly with their tails forward is all sewed up and has been disproven by scientific evidence.",all sewed up
3,"""Well, I'll be seeing you all. Have a good night!""",I'll be seeing you
4,They are now enjoying their ill-gotten gains.,ill-gotten gains
5,The business owner spent the entire afternoon balancing the books to ensure that all expenses and income were accurately recorded.,balance the books
6,"The economic downturn dealt a body blow to our company, forcing us to lay off several employees.",body blow
7,"""I didn't know anyone in the group until Harry bobbed up at the party.""",bob up
8,"When the cat's away, the teenagers will throw a party.",when the cat's away
9,"When the cat's away, the mice will play. The students immediately started chatting and playing games as soon as their teacher left the room.",the mice will play
10,"""I can't decide what to do on Saturday, do you have any ideas?"" asks Sarah. ""Well, I suggested going to the beach last time so the ball is in your court now,"" replies Emily.",ball is in your court
11,"When the cat's away, the mice will play.",cat's away
12,The chips are down and we need to come up with a new plan for the party.,chips are down
13,"""Well, all roads lead to Rome. As long as we all get good grades, it doesn't matter how we study.""",all roads lead to Rome
14,"""Is everyone ready to go? I'm all set to leave the house!""",all set
15,"Despite tinkering with the engine all day, it still won't start.",tinker with
16,"""Captain, we have a large iceberg dead ahead!""",dead ahead
17,"""Running this office day to day is not an easy task.""",day to day
18,"The investigator knew that the case was a dead hand, and there was no chance of solving it.",dead hand
19,"After months of being stranded on the deserted island, the once lively parrot was now dead as a doornail.",dead as a doornail
20,"""After years of being mistreated by her boss, Susan finally had enough and told him to drop dead before quitting her job.""",drop dead.
21,"""Come on guys, let's be the early bird and catch the worm by leaving at sunrise.""",early bird catches the worm
22,"""I'm not worried about winning, baking a pie is easy as pie for me.""",easy as pie
23,"Every cloud has a silver lining, so she decided to use her free time to start her own business.",every cloud has a silver lining
24,The politician had to eat humble pie as they made a public apology for not fulfilling their promises.,eat humble pie
25,"The elephant in the room was their differing views on starting a family, but neither of them wanted to bring it up.",elephant in the room
26,"""She was really flinging herself at him, but he just wasn't interested.""",fling
27,The man flipped his lid when he saw his date walk in wearing a clown costume.,flip one's lid
28,"""Let's go halves on the cost of the rental car and split the gas money.""",go halves
29,"""I find that exercising and eating well go hand in hand. When I work out regularly, I also tend to make healthier food choices.""",go hand in hand
30,"As the party preparations started to go haywire, the group of friends scrambled to fix the decorations and food before their friend arrived.",go haywire
31,"""Ann suggested that they go halves on the rent.""",go halves
32,"""It seems like our careers are going hand in hand, with both of us getting promotions at the same time.""",go hand in hand
33,"The prosecutor is going hard with the defendant, pulling out all the evidence they have to secure a conviction.",go hard with
34,The plans for the party have gone haywire and the planner is struggling to keep everything under control.,go haywire
35,The dieter went hog wild and indulged in every dessert at the buffet.,go hog wild
36,"""Thank you for calling, have a nice day!""",have a nice day
37,"They walked hand in hand through the park, enjoying the warm sunshine and each other's company.",hand in hand
38,"Despite their best efforts, the mastermind behind the crime is proving to be a hard nut to crack.",hard nut to crack
